age,poem_date,sex,text,Unnamed: 0,Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text
, 8. júl 2003,,"The Truth is not a fact, but a feeling.It’s not the knowledge that the earth revolves around the sun.But believing that tomorrow, you’ll see the sun rise again.It’s not a roof over you head or a ring around your finger.It’s being in love, and being loved in return.",530,530,1.0,0.6958,"feel, make, life, day, die, live, give, thing, find, cry","['part', 'gaze', 'thay', 'salvation', 'speak', 'claim', 'thay', 'blood', 'gut', 'thay', 'feed', 'place', 'seed', 'young', 'virgen', 'stomach', 'eat', 'claim', 'awake', 'claim', 'crowngutte', 'man', 'rape', 'woman', 'pass', 'meburne', 'child', 'dismemberd', 'headshe', 'bed', 'fuck', 'aheadeverythe', 'tryed', 'dream', 'sintogether', 'bury', 'thinhugry', 'sin', 'thay', 'speaksurviver', 'heavendrenche', 'blood', 'wein', 'gorethay', 'bite', 'theire', 'tongueswallow', 'think', 'show', 'mercy', 'soulinstate', 'ripping', 'theire', 'heartslowly', 'painfully', 'apart', 'fraud', 'part', 'young', 'glad', 'dream', 'bedgoe', 'churchpray', 'life', 'thing', 'pray', 'key', 'successthink', 'right', 'ever', 'deal', 'life', 'walk', 'head', 'proud', 's', 'already', 'skypasse', 'strangerone', 'strongone', 'fill', 'anger', 'quick', 'sick', 'stab', 'kniveso', 'scare', 'pray', 'lifedeep', 's', 'stomach', 'feel', 'kill', 'hunt', 'rape', 'prayso', 'good', 'feel', 'today', 'see', 'thankfulk', 'full', 'painher', 'soul', 'drainblue', 'bloody', 'lie', 'rain', 'lifeless', 'dead', 'leg', 'spreadand', 'fill', 'dreamsrape', 'build', 'scream', 'hatered', 'blashemyso', 'far', 'could', 'never', 'see', 'crave', 'upwhile', 'bring', 'downblood', 'gut', 'aroundhe', 'come', 'resit', 'beg', 'end', 'fraud', 'part', 'lie', 'scream', 'painbeen', 'see', 'allnow', 's', 'ownstand', 'take', 'commandswe', 'go', 'fight', 's', 'do', 'rape', 'fuck', 'primerippe', 'piece', 'kill', 'get', 'side', 'nnow', 'strike', 'make', 'feel', 'painand', 'make', 'beg', 'mercy', 'day', 'day', 'nowmy', 'eye', 'wide', 'open']"
,30. jún 2003,,"Come wrap your thoughts around meand let our words make love.Our spirits sleep togetherlike the sailing ships above.Come break your waves upon meuntil the sea runs out.Your kisses falling upon melike the tide falls about.Then all is calm, we are standing on hallowed ground.Time is trapped between your fingers and a memory is born.Come plant your hopes inside meand make me believe in life.Your footsteps there to guide me,the reason why I will survive.Come raise your voice inside meand let your soul climb out.Your love is growing inside meuntil there’s no room for doubt.",531,531,1.0,0.5181,"feel, make, life, day, die, live, give, thing, find, cry","['do', 'lie', 'bed', 'naked', 'full', 'life', 'talk', 'hold', 'knifethe', 'blood', 'blood', 'handsyour', 'black', 'hair', 'messy', 'badis', 'true', 'fake', 'feel', 'mad', 'do', 'look', 'dog', 'open', 'doordont', 'go', 'want', 'water', 'toy', 'lay', 'floori', 'man', 'starve', 'walk', 'realize', 'never', 'returnyour', 'beauty', 'go', 'beautiful', 'brown', 'eye', 'never', 'see', 'sunthe', 'sound', 'silky', 'voice', 'silence', 'do', 'thought', 'seek', 'answerwhile', 'run', 'cance']"
,22. jún 2003,,"I disappear in my point of view.I won’t cry, but I’ll say that I do.Knew my fate and that it was true.Levitating above all things that are blue.Wish I didn’t know, how it feels to be touchedor how it feels, when you feel loved.A moment when I reflected your sight,for what more could I wish in the night?But you can count on me, cause I’ve seen too much.I’ve seen raindrops not daring to touch.One day they’ll splash and that will be that.Just like the water you dust from your hat.Cause being in love is like falling down.One day you’ll crash but you won’t make a sound.So remember me when you walk in the rainand all the colours that fall down in vain.So celebrate whenever you can.Cause there’ll be a time when you don’t stand a chance.Just look to the sky and think of your friend.Still falling, right to the end.Still falling, right to the end.",532,532,0.0,0.5,"love, heart, eye, time, leave, mind, world, tear, fall, dream","['eye', 'laughterthere', 'cry', 'people', 'kill', 'loveand', 'greatis', 'reason', 'hate', 'carry', 'go']"
,13. apr 2003,,"Poem about meAnd the things u cannot seeFloating, floating on a bottom of an unknown seaDrowning, drowning among cloudsSurrounded by a clown like realityAnd the insane theater plays its tunePuts on its little playSanity, my sweet child of birthU mother of what´s trueO my sweet candy-like long lost realityAnd the china blue sky whispers; sanityI’d like to touch the earthIt’s long lost feeling, of what isWarm, gentle touch of god, & what´s trueSitting by a long lost sea-like lakeA boy, a man, a snakeDrowning in the skysFloating on the bottom of the sea",533,533,1.0,0.6106,"feel, make, life, day, die, live, give, thing, find, cry","['lie', 'couch', 'go', 'explore', 'dream', 'care', 'pay', 'hobby', 'want', 'know', 'mean', 'say', 'ride', 'strange', 'red', 'horse', 'animal', 'stay', 'course', 'suddenly', 'cover', 'infernal', 'darkness', 'cloth', 'colour', 'blue', 'madness', 'dream', 'sexually', 'orient', 'taint', 'shame', 'fantasy', 'biblically', 'wrong', 'spiritual', 'game', 'theory', 'research', 'many', 'year', 'dear', 'patient', 'lab', 'rat', 'suffer', 'paranoia', 'belief', 'flawless', 'bent', 'patient', 'number', 'say', 'nightmare', 'dragon', 'mother', 'drool', 'blood', 'eat', 'meat', 'bad', 'eat', 'brother', 'sexually', 'orient', 'taint', 'shame', 'fantasy', 'biblically', 'wrong', 'spiritual', 'search', 'game']"
,12. júl 2003,,"The man jumped in the cab and said'Look cab driver, up ahead -I want you to follow the moon.'The driver complied, and soonthey were on their way.I saw that ‘57 cab today.40 years of dust that covera car that’s seen the world all over.Two people with a single purpose each,which neither party will ever reach.Laurent/Keats",534,534,1.0,0.5441,"feel, make, life, day, die, live, give, thing, find, cry","['never', 'think', 'would', 'leave', 'hear', 'see', 'fucking', 'people', 'watch', 'suck', 'bloodthey', 'feed', 'suck', 'life', 'thatyou', 'go', 'away', 'watch', 'distance', 'finish', 'last', 'piece', 'call', 'fucking', 'life']"
, 8. jún 2003,,"Stolen glances no one misses,along with a collection of kisses,boxed, and still unopened.Make this a treatfor two to eatand add your kisses to it.",535,535,0.0,0.5016,"love, heart, eye, time, leave, mind, world, tear, fall, dream","['love', 'darkthey', 'know', 'wordwaite', 'child', 'die', 'hate', 'war', 'kill', 'die', 'sell', 'play', 'big', 'part', 'movie', 'play', 'one', 'world', 'lose', 'sea', 'many', 'blind', 'see', 'love']"
, 9. sep 2002,,DarknessAll is darkthe only thing I see is shadowsI feel what you are trying but it isn't helpingI feel your lightbut I dont see itI feel your warmth but not close enoughWhat is it?why is all the darkness hereor isn't it hereis it all my imagination,536,536,1.0,0.5047,"feel, make, life, day, die, live, give, thing, find, cry","['love', 'lose', 'know', 'evolvewaite', 'child', 'die', 'hate', 'war', 'kill', 'die', 'horrible', 'discuss', 'point', 'view', 'destroy', 'youth', 'play', 'big', 'part', 'movieplay', 'innocent', 'smart', 'groovieplay', 'one', 'commandand', 'one', 'blame', 'hatred', 'mankindso', 'love', 'lose', 'sea', 'curse', 'blind', 'see', 'love', 'behindyou']"
44.0, 7. júl 2003,kvenmaður,"My flow is sutch, i cant bear to much to think of your touch.Your hands on my body, my thoughts get to be noughty.When we are together, i don’t think of no other And when we are apart your hand holds my heartI play it cool. Oh what a fool I cant fake it When we get naked.You wake up my beast and we have our feast.And in the end, my thoughts to you I send.In these words,To fly of like little birds.",537,537,0.0,0.5354,"love, heart, eye, time, leave, mind, world, tear, fall, dream","['love', 'donkey', 'love', 'come', 'chariot', 'run']"
44.0,27. jún 2003,kvenmaður,"How can I mend my broken heart When you want us to be apart.My love is something i cant turn off But if I had one wish to bear,i would wish my love for you to disappear.",538,538,1.0,0.5024,"feel, make, life, day, die, live, give, thing, find, cry","['bless', 'time', 'take', 'rule', 'land', 'shall', 'danger', 'equilibrium', 'presume', 'come', 'long', 'distance', 'clan', 'want', 'save', 'extinction', 'try', 'believe', 'family', 'justa', 'pulp', 'fiction', 'walk', 'thin', 'asylum', 'line', 'play', 'insanity', 'do', 'commit', 'crime', 'brim', 'sanity', 'new', 'religion', 'listen', 'shrink', 'write', 'inspiration', 'killing', 'fink', 'influence', 'lovecraft', 'poe', 'fight', 'ancient', 'crippled', 'foe', 'live', 'brutal', 'planet', 'trust', 'belive', 'politic', 'live', 'cheat', 'lie', 'decieve', 'shall', 'depart', 'long', 'existance', 'try', 'balance', 'mental', 'state', 'asylum', 'stay', 'future', 'fate', 'walk', 'onward', 'eternity', 'brim', 'sanity']"
44.0,26. jún 2003,kvenmaður,"You were my love my life, my heartand my soul.Im left here aloneso sad and so cold.My heart is broken,im so blue will i ever get over you?",539,539,0.0,0.5161,"love, heart, eye, time, leave, mind, world, tear, fall, dream","['walk', 'dark', 'see', 'lightthough', 'think', 'negative', 'thoughtsi', 'still', 'see', 'bad', 'dreami', 'see', 'light', 'timebut', 'light', 'overit', 'much', 'eye']"
43.0, 2. júl 2003,karlmaður,"As I look in the mirror,all I see is my empty soulless eyes.Looking for a new life,is exactly how my soul strives.I beg for something different,I beg for a new perception.Things I can't understand,is how life is filled with deception.I can't tell the difference,between truth and a lie.I've told too many,I hope it gets clear before I die.Can you imagine how it feels,to not know what are lies?This is what I realize,as I stare at my own soulless eyes.",540,540,1.0,0.5663,"feel, make, life, day, die, live, give, thing, find, cry","['sit', 'mighty', 'throne', 'come', 'destruction', 'brought', 'sit', 'standwatching', 'bring', 'want', 'land', 'god', 'naturethe', 'one', 'keep', 'away', 'evil', 'invader', 'abandon', 'human', 'race', 'worthy', 'see', 'face', 'push', 'old', 'mighty', 'throne', 'replace', 'interesting', 'tool', 'new', 'interesting', 'worldnothing', 'parasite', 'world', 'ever', 'seek', 'throw', 'life', 'throne', 'tn']"
43.0,26. des 2002,karlmaður,"Falling through this empty place,a land which has no time.Soulless people walk these lands,and the bells they do not chime.How did I end up in this world,a world so hollow within.I guess I should journey forth,and let my unknown quest begin.I travel for days without directions,could be walking in circles for all I know.Then one day I came to a halt,there was a man that said he had something to show.He didn't fit in with the rest,looked sort of divine.And he gave me map of the world,said that once it was his and now it is mine.He pointed to a certain place on it,told me go there right away.It would take a long time to go there,but it was obvious the man didn't want me to stay.So I traveled for days on end,Saw nothing that had a place in reality.Most of it an horrid illusion,some distant part of my insanity.Until I came to the hut,the place the man did mention.There was an smithy there,and he handed me a weapon.Told me to battle the small creatures,that are swarming his lot.What kind of world is this,that has such a dire plot?I had no choice but to do as told,so I ventured out on his land.Forward I strode feeling so bold,never before had I held a sword in my hand.I saw a creature not far away,ran to it and with my sword slashed.I didn't notice another coming behind me,while I fought one the other my back bashed.It was good thing they were weak,or else I would be dead.So I killed them both,saw a cave and made myself a bed.I needed rest and was badly hurt,that night I dreamt of being a sire.But that would not be possible,until my battle experience was higher.The following day I ran with my sword,out to the field and did nothing but battle.Countless foes both strong and weak,I hacked at them until I saw their bones rattle.Some had some kind of currency,which I kept for myself.In the end of the day I went to the smithy,and bought some stuff of his shelf.Now I was a bit stronger,and better protected.I was glad with todays work,and from the server I ejected.",541,541,0.0,0.5436,"love, heart, eye, time, leave, mind, world, tear, fall, dream","['sit', 'watch', 'thought', 'run', 'wild', 'mental', 'image', 'thing', 'want', 'touch', 'caressing', 'hold', 'allow', 'feel', 'warmth', 'body', 'soul']"
43.0,30. des 2001,karlmaður,"The day has finally come, I have left behind my sanity. I no longer have a place, within this - your reality. In no one I ever see, I can find compatibility. And this is my reality. I finally ended up with insanity, trying to take control of my mortality. Grasp this in all of it's totality, and this will be your reality. And this is my insanity.",542,542,0.0,0.5314,"love, heart, eye, time, leave, mind, world, tear, fall, dream","['anyway', 'player', 'get', 'play', 'suck', 'else', 'bleed', 'heart', 'already', 'rip', 'open', 'leave', 'alone', 'pain', 'shame', 'stay', 'away', 'go', 'leave', 'come', 'back', 'want', 'need', 'love', 'guess', 'deserved', 'itfor', 'heart', 'bleed']"
43.0,21. des 2001,karlmaður,"Love has found it’s way to me,from a place so divine.I hope it’s here to stay,within this lonely heart of mine.She came to me on a day,when I needed her the most.In my heart, she will have,loves eternal host.She’s like a beautiful angel,soaring in the skies.She’s here to stay,I can see it in her eyes.",543,543,0.0,0.5051,"love, heart, eye, time, leave, mind, world, tear, fall, dream","['cover', 'blur', 'wiev', 'bystander', 'separate', 'life', 'cry', 'day', 'lose', 'lose', 'lose', 'love', 'cry', 'loss', 'understanding', 'cry', 'live', 'love', 'still', 'burn', 'cry', 'move', 'sit', 'dwelling', 'thought', 'could', 'fear', 'fear', 'love']"
43.0, 1. des 2000,karlmaður,"What the darkness lurks inside,you can not see, it will always hide.Waiting for the perfect move,to go ahead and steal your groove.there and then you will die,and your spirit,away it will fly.A monster from your imagination,a freak of nature, an abomination.A single person it can not hurt,it doesn´t know what you are worth.The monster in the closet,the monster under your bed,the monster lurking in the dark.Nothing for it to say,and all you can do,is wait for the dawn of day.",544,544,1.0,0.5489,"feel, make, life, day, die, live, give, thing, find, cry","['shout', 'yell', 'scream', 'feel', 'hatred', 'different', 'seem', 'black', 'man', 'hang', 'grow', 'rope', 'neck', 'get', 'tight', 'tight', 'torture', 'put', 'work', 'could', 'execute', 'humonster', 'witch', 'use', 'kindle', 'burn', 'body', 'go', 'flame', 'people', 'turn', 'maybe', 'feel', 'better', 'set', 'free', 'great', 'freedom', 'pay', 'big', 'fee']"
43.0,24. nóv 2000,karlmaður,"Lost in an eternity of sadness and pain,you can judge me as a person insane.Through the course of my life,I have been nothing but a loser.I’ve never had the honour of,being my living life’s chooser.Caught in the infernal thoughts,of bringing myself nothing but pain.Now that you’ve had a little time to judge,do you think that from it I have something to gain.You must know all this,in order to know who I am.I am really fucking mad,and I don’t know how to jam.Is it that bad,not knowing how to have fun.When I could get blast out of,having in my hand a very powerful gun.Kill you I might,and live you could too.I guess in the end it depends on,how much I like you.Crazy I am and that I know,but now my ramblings,away they will go.",545,545,1.0,0.5085,"feel, make, life, day, die, live, give, thing, find, cry","['memory', 'vague', 'hero', 'could', 'never', 'know', 'much', 'escape', 'could', 'lose', 'lose', 'human', 'blur', 'story', 'one', 'tell']"
,15. jún 2003,,There is a man inside my televisionTells me what to beI tell him i don't want toBut he says I have to beWhat others like to seeVisual propagandaDoing everything I can not to obeyHe makes me angryThe other like him but I always sayHe´s a serial killer on the looseSo I simply turned him off today.,546,546,0.0,0.5357,"love, heart, eye, time, leave, mind, world, tear, fall, dream","['love', 'withhold', 'see', 'limit', 'hear', 'think', 'close', 'inner', 'voice']"
, 8. jún 2003,,most of us die as noBodies and evEn though most of us try to make the best of it there is mAlice in wonderland killing every little piece of life in us which We accept and forget everything around us as they mAnufacture consent* and we Realize at the last moment that without mEmories we are nothing*manufactering consent er grein eftir Noam Chomsky :D,547,547,1.0,0.5033,"feel, make, life, day, die, live, give, thing, find, cry","['people', 'mind', 'deny', 'dark', 'side', 'probable', 'afraid', 'admit', 'lie', 'steel', 'even', 'kill', 'get', 'bysome', 'rich', 'get', 'anythingbut', 'sell', 'apart', 'ourselfsome', 'even', 'sell', 'lie', 's', 'smart', 'one', 'other', 'offer', 'skille', 'artist', 'kind', 'becomme', 'product', 'sell', 'call', 'whore', 'chaos', 'could', 'right', 'could', 'wrong', 'say', 'wrong', 'say', 'other', 'say', 'right', 'do', 'othersbut', 'right', 'wrong', 'say', 'non', 'rather', 'say', 'human', 'behavior']"
, 4. maí 2002,,"Who ever wrote“It’s better to have loved and lossed,than ever to have loved at all”never knew loveThe loss is greaterThan love can ever beThe numbness that followsOvertakes the possibility, love ever offeredNumbness and stagnationOffer solitude and peaceLost love offers littleBut a reminder of “never again”Lost love though offers encasement of feelingsThat will never be felt againIt’s closed of, turned to ruinsThe sole reminderThat we ever existedClosed of foreverNever again",548,548,1.0,0.583,"feel, make, life, day, die, live, give, thing, find, cry","['look', 'mirrorsaw', 'terror', 'face', 'lose', 'youremembere', 'long', 'go', 'day', 'seem', 'life', 'simple', 'victimof', 'twist', 'little', 'game', 'heart', 'feel', 'good', 'take', 'step', 'tookto', 'initiate', 'fall', 'groundsilence', 'sit', 'next', 'drop', 'seep', 'never', 'see', 'heart', 'feel', 'thing', 'vamano']"
,27. apr 2002,,"The emptiness must be filled the longing, overwhelming the desires of being alone The hope for joy the need for love surprising, unarmed heart open to all Asking now to hold it softly it’s bruised and not too trusting The bleak glimmer dimmed by hate Will you be the one to unlock the desire the desire to be at one with all to have more than a glimmer To have it all",549,549,1.0,0.5316,"feel, make, life, day, die, live, give, thing, find, cry","['night', 'always', 'alone', 'use', 'come', 'night', 'anymore', 'sleep', 'tear', 'even', 'stop', 'show', 'wonder', 'stone', 'happy', 'depression', 'high', 'low', 'base', 'reality', 'alone', 'day', 'always', 'emptyonce', 'use', 'bring', 'happiness', 'joy', 'fill', 'life', 'happiness', 'go', 'tear', 'wash', 'bitterness', 'regret', 'none', 'lonlyness', 'far', 'away', 'waste', 'hate']"
,23. apr 2002,,Echoes of emotionsembracing my mindrepeated requestsreplayed in my lifeDestroying distortiondownward my sanity goespitfalls of pleasureplaying my heartGlimmer of glorygives hope a chanceof living lifewith love by your side,550,550,0.0,0.5746,"love, heart, eye, time, leave, mind, world, tear, fall, dream","['light', 'windowfall', 'breakzi', 'cut', 'little', 'bright', 'piecesi', 'glow', 'darkbut', 'night', 'fallsit', 'fall', 'fallingit', 'fallsmy', 'head', 'nightclubclub', 'dub', 'dull', 'drumsbeate', 'dance', 'breath', 'dancei', 'insist', 'cut', 'drink', 'drinkingim', 'drunk']"
,22. apr 2002,,When I wake there it isthe numbing painand as my heart keeps beatingthe sorrow fills my daysOnly for the brief momentswhen you and I are onedoes my body let goand my heart feels againThen the wave of emotionscomes rushing inand I'm left standing more than alonealone with the memories of youIf I could only learn to forget then maybe I could saythe only word you've never heardthe word that would end it all,551,551,1.0,0.5704,"feel, make, life, day, die, live, give, thing, find, cry","['love', 'somewhat', 'silly', 'thing', 'black', 'turn', 'bird', 'feel', 'full', 'full', 'life', 'want', 'se', 'sonnet', 'full', 'turn', 'deny', 'joy', 'make', 'fade', 'feel', 'fragile', 'statue', 'sand', 'make', 'life', 'alone', 'day', 'find', 'find', 'miss', 'night', 'find', 'hair', 'smell', 'sweet', 'touch', 'gold', 'think', 'emotion', 'hide', 'enjoy', 'freedom', 'love']"
,22. apr 2002,,For memories are never endingYou will be with me till the end of timeor until we meet againWhatever comes firsthardly matterscause true feelings never endthey only start againYou are my heartso please take carefor you and Iare forever one,552,552,0.0,0.6154,"love, heart, eye, time, leave, mind, world, tear, fall, dream","['walk', 'headlooke', 'deep', 'thougtsso', 'dark', 'cold', 'bad', 'feel', 'misrable', 'far', 'away', 'could', 'see', 'lightlike', 'glow', 'stari', 'run', 'forward', 'beautiful', 'sweet', 'turned', 'light', 'headbut', 'touch', 'start', 'ground', 'light', 'go', 'dark', 'backi', 'close', 'eye', 'whisper', 'know', 'would', 'never']"
,15. jún 2002,,"Bringing you bunch of rosesbrightens your livingroom.The smell of bunch of rosessmiles mildly when you are there.Bringing you bunch of rosesmakes you more happiness.the delight of you, decorates all rosesit´s the happiness holding your hand.Bringing you bunch of rosesbrings me happiness for youbecause a big bunch of rosesmakes me mad and addicted to you.",553,553,1.0,0.5205,"feel, make, life, day, die, live, give, thing, find, cry","['scatter', 'eye', 'wide', 'send', 'mission', 'diebut', 'come', 'back', 'eye', 'wide', 'open', 'paint', 'right', 'front', 'usbut', 'still', 'see', 'itwith', 'eye', 'wide', 'openand', 'die', 'underground', 'angelswith', 'eye', 'wide', 'open']"
,13. jún 2002,,"Tim took that feeling,that Tina kept in her heart.Tossed that feeling away,took that from the start.His feeling was a failure,that Tina felt from the start.Brightness turned to darkness,but she should have married Bart.Bart was her boyfriend X,Bart wanted more than just the sex.Robert was her xxand xxx was Rex.",554,554,0.0,0.5375,"love, heart, eye, time, leave, mind, world, tear, fall, dream","['facea', 'stand', 'buy', 'give', 'timei', 'need', 'food', 'fell', 'aparti', 'take', 'stepshowe', 'life', 'peaceof', 'charm', 'placei', 'see', 'bright', 'dayswere', 'heartshowe', 'fall', 'mistic', 'leave', 'grass', 'think', 'sit', 'blur', 'take', 'stand', 'river', 'need', 'say', 'fewlifte', 'songan', 'endless', 'deathin', 'sorrow', 'miss']"
, 9. feb 2002,,"You are framed in my mindbecause you are so kind.You are framed in my mindand YOU, I can always find.You are framed in my imaginationin any occation.You are framed in my imaginationwherever I am in the nation.You are stuck in my brain foreverI forget you NEVER, NEVERYou are stuck in my brain foreverI forget you never, EVERI will aim on you my arrow of loveso says the Cupid.I will aim on you my arrow of loveyou know I´m not stupid!",555,555,1.0,0.6047,"feel, make, life, day, die, live, give, thing, find, cry","['family', 'thing', 'kind', 'strange', 'thing', 'love', 'get', 'go', 'away', 'soon', 'go', 'away', 'go', 'back', 'thing', 'draw', 'back', 'make', 'keep', 'try', 'go', 'away', 'always', 'force', 'go', 'back', 'inner', 'strength', 'know', 'day', 'realise', 'much', 'love', 'go', 'away', 'find', 'inner', 'peace', 'want', 'spend', 'life', 'people', 'love', 'late', 'go', 'go', 'power', 'life', 'never', 'see', 'eachother', 'try', 'find', 'real', 'family', 'late', 'cause', 'want', 'live', 'know', 'truth', 'try', 'find', 'family', 'spotta']"
,29. des 2001,,"Why am I never tired?Why are my eyes upwired?Why can´t I fall asleep very soon?Why am I staring at the moon?Why is the dark like a brightness to me?why can´t I let my mind to be free?Why can´t I never dream like the others?Why can´t I just close my eyes? Oh, that BOTHERS!",556,556,1.0,0.5088,"feel, make, life, day, die, live, give, thing, find, cry","['see', 'soon', 'come', 'care', 'calmeverythe', 'year', 'know', 'regret', 'year', 'leave', 'side']"
,11. des 2001,,"Timothy looks outside the window and says:“Out there´s a happiness and joy,I wanna be there oh boy, oh boy.”Lillian walks towards Timothy and says:“Wow, Santa Claus is coming,how sweet, how sweet,I see Rudolf the reindeer,I see his feet.”Timothy laughs and says:the chimny´s certainly shaking,do you hear,do you hear?hear the loudness he is making,oh,dear, he´s near!“Lillian is curious,looks up under the chimny:”Oh,Santa,oh,Santa, we are good and quiet,give us a Fanta, and let´s make it a diet.“Timothy wants something else than Diet Fanta:”Oh, Santa,oh Santa I want something else,give me coca cola, gingerbread and bells""",557,557,1.0,0.5161,"feel, make, life, day, die, live, give, thing, find, cry","['highthe', 'people', 'calmdown', 'go', 'worktheir', 'endless', 'quit', 'wind', 'grip', 'clothesteare', 'fall', 'themthose', 'wascloser']"
, 6. sep 2001,,"Though I walk through the dark,I can see a lightthough I think negative thoughtsI can still see the lightThough I have a bad dreamI see light all the timebut when the light is all overit´s too much for my eyes",558,558,1.0,0.5172,"feel, make, life, day, die, live, give, thing, find, cry","['wound', 'mestrippe', 'lifeleft', 'die', 'sleptslit', 'throatagain', 'sufferall', 'pain', 'cause']"
,11. júl 2001,,"LIFE: It is fleetinglike a dreamThoughts and shadows passingA candle flame flickeringin the wind.DEATH: It is greetingyou at every turnSmiling, watching, waiting, SCREAMING,for you to live each moment well.It is a beginning of an ending lost.A transcending of the dream livedAnd an awakening into the LIGHT og ETERNITY.Man: He is meetinghis DIVINITYin each unfolding momentof dreams and destiny.A speck in the VASTNESSof the living,breathing, growing universe.And yet, the UNIVERSE itself.",559,559,0.0,0.5942,"love, heart, eye, time, leave, mind, world, tear, fall, dream","['dream', 'destination', 'longing', 'see', 'eye', 'close', 'dream', 'dream', 'love', 'love', 'try', 'wringe', 'world', 'dream', 'curse', 'dullness', 'innocent', 'world', 'even', 'care', 'sin', 'stupidity']"
,25. jún 2001,,"The ChildInnocent and cutewhile it´s a childnot innocent but cutewhen it grows and gets wildnot innocent but cutenot gentle but mildnot innocent but cutegrows old, but not wild",560,560,1.0,0.5167,"feel, make, life, day, die, live, give, thing, find, cry","['still', 'brokencrack', 'aparti', 'still', 'tryingholde', 'upforgette', 'pasti', 'still', 'meeven', 'cryeven', 'beat', 'homei', 'can', 'go', 'anymore']"
,25. jún 2001,,"I wish you could be my friend forever.I´d keep you as my secret treasure.Through the changing seasons of pain and pleasure,We´d learn to love and grow together.I wish you could be my friend forever.",561,561,1.0,0.5373,"feel, make, life, day, die, live, give, thing, find, cry","['stuff', 'killer', 'make', 'truth', 'never', 'tell', 'love', 'desire', 'call', 'nightmare', 'essance', 'ultimate', 'joy', 'lie', 'perfection', 'hate', 'never', 'existedyou', 'reality', 'never', 'touch']"
,24. jún 2001,,"Today I am letting go of the pastand wiping the slate CLEAN.Today I am forgiving myselffor all that I didor didn´t dothat was not for my true happinessor the true happiness of others.Today I am living in the NOWand learning that NOW is new.Today I am laying my burdens downand knowing I am free.Today I am starting for scratchand making all my dreams and idealscome true.Today is a wonderful dayfor all that it brings and I am thanking Godfor Today´s beautiful gifts offorgiveness,freedom and creation,hope,love and joy.Today I am truly RICH.",562,562,0.0,0.5131,"love, heart, eye, time, leave, mind, world, tear, fall, dream","['know', 'namethe', 'time', 'people', 'smile', 'time', 'part', 'cry', 'tear', 'time', 'matter', 'time', 'person', 'love', 'mean', 'much', 'thing', 'still', 'wait', 'replacementsi', 'wonder', 'new', 'thing', 'mean', 'toxiclove']"
,19. jún 2001,,"He was so bravehe was so stronghe had to behave when something was wrong.had feelings insidethat he didn´t let outyou try argue and fightand try screaming and shoutHe´s such a man,so strong and so proudyou are his fanyou should say it out loudTell him you love his muscles and pridetell him abovethat you´ll be on his sideHe´ll love you forever,you´ll never say neverhe is so clever,the cleverest eve",563,563,0.0,0.5357,"love, heart, eye, time, leave, mind, world, tear, fall, dream","['thad', 'ad', 'thad', 'heimurinn', 'ordid', 'glediog']"
,11. jún 2001,,"Wasn´t it Jesus,who made those masterpieces,the man and the earthand our mother who gave us birth?Earth,air,water and fire,is our God´s desire,that we can admirebut our age goes higher and higher.We must respect all life,in case we have no other.Maybe we would never arriveand that wuold be a bother.This one life we have to enjoy,every single girl and boy.God he gave us just one life,it means the life is ONE not FIVE!It´s your choice how you enter,as young soul, old soul or the center.Some are born with souls of an old,some are born in a bed of gold",564,564,1.0,0.5889,"feel, make, life, day, die, live, give, thing, find, cry","['could', 'see', 'try', 'moat', 'hurt', 'cry', 'share', 'life', 'blood', 'hide', 'become', 'lose', 'pry', 'torture', 'begin', 'fester', 'tell', 'dark', 'secret', 'hope', 'make', 'cry', 'torture', 'inside', 'die']"
,11. mar 2003,,"Your painfull death is near,you have sinned.Soon you'll be trapped in a chamber of torturetaking a bath in the blood of your mother.Think you can pass in to paradise culture,you'll be kicked out by your heavenly father.Satan himself will be giving you pain,that's storming like fire through every vein.Reality will become your biggest fear,hellfire stabbed through your heart like a spear.Satanic flames will be eating your skin,Endingless torture for every sin.Crying for help from your father above,he doesn't care you do not deserve love.Angels turn away when they hear your cry,then you realize you deserved to dye.",565,565,1.0,0.5172,"feel, make, life, day, die, live, give, thing, find, cry","['want', 'thought', 'flesh', 'cryteare', 'inner', 'feel', 'see', 'shall', 'bleed', 'shall', 'cry', 'moreall', 'pain', 'go']"
35.0,16. maí 2003,karlmaður,Somthing wicked this way comes with clouds of darkness in its arms all this way it walked by daydestroying things with its charmes,566,566,1.0,0.5238,"feel, make, life, day, die, live, give, thing, find, cry","['life', 'fleetinglike', 'dreamthought', 'shadow', 'candle', 'flame', 'flickeringin', 'wind', 'death', 'greetingyou', 'turnsmiling', 'watch', 'wait', 'scream', 'live', 'moment', 'well', 'begin', 'end', 'lose', 'transcend', 'dream', 'livedand', 'light', 'eternity', 'man', 'meetinghis', 'unfold', 'destiny', 'speck', 'vastnessof', 'live', 'breathing', 'grow', 'universe', 'yet']"
